tmin -t   dummy   sig_L        sig_T       sig_TT       sig_LT     sig_LTp
0.000     0.701   4.783e-02    1.973e+01   0.000e-01   0.000e-01  0.000e-01
0.100     0.801   5.138e-02    1.930e+01   -2.194e+00   2.162e-01  2.208e-01
0.200     0.901   5.283e-02    1.859e+01   -3.681e+00   2.510e-01  2.663e-01
0.300     1.001   5.284e-02    1.771e+01   -4.662e+00   2.536e-01  2.793e-01
0.400     1.101   5.187e-02    1.675e+01   -5.279e+00   2.428e-01  2.771e-01
0.500     1.201   5.025e-02    1.577e+01   -5.637e+00   2.261e-01  2.672e-01
0.600     1.301   4.821e-02    1.479e+01   -5.809e+00   2.072e-01  2.533e-01
0.800     1.501   4.352e-02    1.293e+01   -5.799e+00   1.696e-01  2.212e-01
1.000     1.701   3.864e-02    1.127e+01   -5.527e+00   1.364e-01  1.893e-01
1.200     1.901   3.398e-02    9.811e+00   -5.140e+00   1.090e-01  1.605e-01
1.400     2.101   2.972e-02    8.558e+00   -4.717e+00   8.699e-02  1.356e-01
1.600     2.301   2.591e-02    7.485e+00   -4.297e+00   6.948e-02  1.145e-01
